,tags,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,owner.reputation,owner.user_id,owner.user_type,owner.profile_image,owner.display_name,owner.link,owner.accept_rate,closed_date,closed_reason,accepted_answer_id
0,"['azure', 'powershell', 'azure-active-directory', 'azure-powershell']",False,35,1,0,2022-09-06 09:01:05,2022-09-05 09:20:29,2022-09-05 10:12:49,73607128,CC BY-SA 4.0,https://stackoverflow.com/questions/73607128/list-all-vendors-in-azure-ad-who-had-logged-never-logged-in-the-past-24-hours,list all vendors in azure ad who had logged/never logged in the past 24 hours,1,19921831,registered,https://www.gravatar.com/avatar/1d7c404622b48da800dd74ba219d09e9?s=256&d=identicon&r=PG,az_mhb,https://stackoverflow.com/users/19921831/az-mhb,,,,
1,"['javascript', 'c#', 'asp.net-mvc', 'model-view-controller']",False,24,1,0,2022-09-06 09:01:04,2022-09-05 09:29:54,2022-09-06 09:01:04,73607231,CC BY-SA 4.0,https://stackoverflow.com/questions/73607231/update-a-column-with-javascript-and-jsonresult-in-controller,Update a column with Javascript and JsonResult in Controller,65,5824811,registered,https://www.gravatar.com/avatar/441171cc30f1b8572bbe90c9a6274abb?s=256&d=identicon&r=PG&f=1,fl13,https://stackoverflow.com/users/5824811/fl13,100.0,,,
2,"['java', 'android', 'sqlite', 'android-sqlite']",False,22,1,-2,2022-09-06 09:00:42,2022-09-05 17:15:24,2022-09-05 17:18:36,73612765,CC BY-SA 4.0,https://stackoverflow.com/questions/73612765/sqlite-sum-query-in-java-on-android,SQLite SUM query in Java on Android,1,19925159,registered,https://lh3.googleusercontent.com/a-/AFdZucr5SOuitSFOLrop8R3YPiHpmdPeCjJfiJFVuW1eMQ=k-s256,fkkcdd ahgdf,https://stackoverflow.com/users/19925159/fkkcdd-ahgdf,,,,
3,"['javascript', 'string', 'sum', 'integer', 'currency']",False,44,4,0,2022-09-06 09:00:41,2022-09-05 09:13:18,2022-09-06 09:00:41,73607030,CC BY-SA 4.0,https://stackoverflow.com/questions/73607030/how-to-convert-string-to-integer-then-sum-in-javascript,How to convert string to integer then sum in javascript,1,18606663,registered,https://www.gravatar.com/avatar/41e8f236de20691967ed0f665ddccd6b?s=256&d=identicon&r=PG,Haschwalth,https://stackoverflow.com/users/18606663/haschwalth,,,,
4,"['python-3.x', 'slack-block-kit']",False,14,0,0,2022-09-06 09:00:25,2022-09-05 12:15:11,2022-09-06 09:00:25,73609209,CC BY-SA 4.0,https://stackoverflow.com/questions/73609209/im-using-the-slack-blockkit-framework-to-construct-the-user-interface-how-to-u,I&#39;m using the Slack Blockkit framework to construct the user interface. How to use the plaintext block to display data?,1,19922949,registered,https://www.gravatar.com/avatar/aac79554c19740534dfac67ce59e87f8?s=256&d=identicon&r=PG,Shravya,https://stackoverflow.com/users/19922949/shravya,,,,
5,['ibm-mq'],False,15,0,-2,2022-09-06 09:00:04,2022-09-05 08:49:34,2022-09-06 09:00:04,73606779,,https://stackoverflow.com/questions/73606779/ibm-mq-boqname-qalias-are-relevant,IBM MQ BOQNAME QALIAS ARE RELEVANT?,1,19921461,registered,https://www.gravatar.com/avatar/c424cda7bb8d3950d2728c7bec3d5c98?s=256&d=identicon&r=PG,Halim,https://stackoverflow.com/users/19921461/halim,,2022-09-05 09:22:47,Needs details or clarity,
6,"['java', 'spring-boot', 'interface', 'postman', 'postman-collection-runner']",False,30,2,0,2022-09-06 08:58:18,2022-09-05 20:41:01,,73614474,CC BY-SA 4.0,https://stackoverflow.com/questions/73614474/cant-find-interface-in-spring-boot,Cant find interface in spring boot,1,19926239,registered,https://www.gravatar.com/avatar/767b13d00b318c112f33e2ec6cf1114d?s=256&d=identicon&r=PG,Matthew Hinson,https://stackoverflow.com/users/19926239/matthew-hinson,,,,
7,"['javascript', 'regex', 'string', 'url', 'replace']",False,41,4,0,2022-09-06 08:57:43,2022-09-05 15:45:48,2022-09-05 15:56:51,73611864,CC BY-SA 4.0,https://stackoverflow.com/questions/73611864/how-to-remove-only-www-part-from-a-url-javascript,How to remove only www. part from a url - JavaScript,194,9546154,registered,https://i.stack.imgur.com/Rgegn.jpg?s=256&g=1,Hanzla,https://stackoverflow.com/users/9546154/hanzla,,,,
8,"['r', 'r-markdown', 'knitr', 'kable', 'kableextra']",True,39,1,1,2022-09-06 08:57:21,2022-09-05 15:28:55,2022-09-06 08:57:21,73611678,CC BY-SA 4.0,https://stackoverflow.com/questions/73611678/kableextracolumn-spec-returns-undefined-control-sequence-when-rendering-note,kableExtra::column_spec() returns undefined control sequence when rendering notebooks in a loop with rmarkdown::render(),9123,2641825,registered,https://www.gravatar.com/avatar/f8f682f30f7a3b07bd67be391e169232?s=256&d=identicon&r=PG,Paul Rougieux,https://stackoverflow.com/users/2641825/paul-rougieux,59.0,,,73613023.0
9,"['arduino', 'aunit']",False,16,0,-1,2022-09-06 08:56:51,2022-09-05 15:02:02,2022-09-06 08:56:51,73611342,CC BY-SA 4.0,https://stackoverflow.com/questions/73611342/stopping-loop-on-failed-test,Stopping Loop on failed test,1066,4804849,registered,https://i.stack.imgur.com/TqttM.jpg?s=256&g=1,Danny,https://stackoverflow.com/users/4804849/danny,70.0,,,
10,"['vue.js', 'vue-component', 'vuejs3', 'vite']",False,38,1,0,2022-09-06 08:56:35,2022-09-05 16:37:23,2022-09-06 08:38:05,73612397,CC BY-SA 4.0,https://stackoverflow.com/questions/73612397/inject-vue-component-from-diet-js-file,Inject Vue component from diet js file,1140,5679045,registered,https://graph.facebook.com/10153098610132531/picture?type=large,Luca Becchetti,https://stackoverflow.com/users/5679045/luca-becchetti,26.0,,,
11,"['c++', 'tensorflow', 'tensorflow-lite']",False,31,1,0,2022-09-06 08:56:14,2022-09-05 13:50:16,2022-09-05 15:00:31,73610444,CC BY-SA 4.0,https://stackoverflow.com/questions/73610444/tensorflow-lite-c-build,Tensorflow Lite c++ Build,177,11125112,registered,https://lh4.googleusercontent.com/-MjXAaqnWE3s/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rcm0H0Wn2jGIVXfLE8vN23y3fiFDw/mo/photo.jpg?sz=256,Daniel Klauser,https://stackoverflow.com/users/11125112/daniel-klauser,,,,
12,"['c#', 'asp.net', '.net', 'visual-studio', 'icsharpcode']",False,40,2,0,2022-09-06 08:55:41,2022-09-05 18:42:02,,73613548,CC BY-SA 4.0,https://stackoverflow.com/questions/73613548/program-to-reverse-string-and-make-it-uppercase,Program to reverse string and make it uppercase?,31,17665569,registered,https://graph.facebook.com/3205111166376859/picture?type=large,Saad Saleem,https://stackoverflow.com/users/17665569/saad-saleem,,,,
13,"['node-red', 'jsonata']",True,31,3,1,2022-09-06 08:55:30,2022-09-05 15:40:39,2022-09-05 16:39:21,73611801,CC BY-SA 4.0,https://stackoverflow.com/questions/73611801/jsonata-how-to-transform-array-with-elements-missing,"JSONata, how to transform array with elements missing?",85,11124094,registered,https://www.gravatar.com/avatar/80b49626182e8f426262ae9665b556e5?s=256&d=identicon&r=PG&f=1,Dietrich,https://stackoverflow.com/users/11124094/dietrich,,,,
14,"['java', 'android', 'android-intent', 'android-fileprovider']",False,31,0,0,2022-09-06 08:55:28,2022-09-05 10:59:54,2022-09-06 08:55:28,73608303,CC BY-SA 4.0,https://stackoverflow.com/questions/73608303/cant-share-pdf-file-from-android,Can&#39;t share pdf file from android,1,19380752,registered,https://lh3.googleusercontent.com/a/AATXAJx0UERCdoITxfGbOZRVMXD6lIvWE0lj7iAF70jg=k-s256,Ahmad Alsabbagh,https://stackoverflow.com/users/19380752/ahmad-alsabbagh,,,,
15,"['terraform', 'yaml']",False,12,1,0,2022-09-06 08:54:54,2022-09-05 16:12:35,2022-09-06 08:33:05,73612153,CC BY-SA 4.0,https://stackoverflow.com/questions/73612153/yamldecode-in-terraform-for-multiple-list,yamldecode in terraform for multiple list,13,18010336,registered,https://lh3.googleusercontent.com/a/AATXAJzOi8CjDX7oWdcXcHkZJKbAE3ABpq6MbDVUZvcy=k-s256,Felixrobin antony,https://stackoverflow.com/users/18010336/felixrobin-antony,,,,
16,['prisma'],False,25,0,0,2022-09-06 08:53:44,2022-09-05 06:39:37,2022-09-06 08:53:44,73605391,CC BY-SA 4.0,https://stackoverflow.com/questions/73605391/both-two-prisma-schema-have-foreign-key-of-each-others-id,Both two Prisma schema have foreign key of each other&#39;s ID,39,19384556,registered,https://lh3.googleusercontent.com/a/AATXAJzinVtrwzA_W9luRthqJJnaOVPlznc4o12hb955=k-s256,wedsds2,https://stackoverflow.com/users/19384556/wedsds2,,,,
17,"['express', 'cookies']",False,18,1,1,2022-09-06 08:53:15,2022-09-05 09:10:11,,73606999,CC BY-SA 4.0,https://stackoverflow.com/questions/73606999/expressjs-browser-not-sending-cookies-set-for-another-domain-set-by-api-server,ExpressJs: Browser not sending cookies set for another domain set by api server,1430,5065527,registered,https://lh6.googleusercontent.com/-isSvEckufoc/AAAAAAAAAAI/AAAAAAAAATA/dafM86vHlJU/photo.jpg?sz=256,relentless-coder,https://stackoverflow.com/users/5065527/relentless-coder,70.0,,,
18,"['javascript', 'html', 'css']",False,58,1,0,2022-09-06 08:52:51,2022-09-05 11:42:48,2022-09-06 06:43:17,73608840,CC BY-SA 4.0,https://stackoverflow.com/questions/73608840/use-same-javascript-function-for-different-overlay-ids,Use same javascript function for different overlay IDs,31,9917745,registered,https://lh5.googleusercontent.com/-sjEBrgeboKc/AAAAAAAAAAI/AAAAAAAAA10/MGSUZCqXR2E/photo.jpg?sz=256,Archies Shedge,https://stackoverflow.com/users/9917745/archies-shedge,,,,
