,is_accepted,score,last_activity_date,last_edit_date,creation_date,answer_id,question_id,content_license,owner.reputation,owner.user_id,owner.user_type,owner.accept_rate,owner.profile_image,owner.display_name,owner.link,community_owned_date
0,False,0,1662282387,1662282387.0,1662199136,73591290,17581332,CC BY-SA 4.0,2655,4372452,registered,60.0,https://i.stack.imgur.com/OlDV3.png?s=256&g=1,mtraceur,https://stackoverflow.com/users/4372452/mtraceur,
1,True,1,1662282284,1662282284.0,1662163857,73588816,73588765,CC BY-SA 4.0,33772,1138192,registered,69.0,https://i.stack.imgur.com/KTujj.png?s=256&g=1,Always Sunny,https://stackoverflow.com/users/1138192/always-sunny,
2,False,0,1662281750,1662281750.0,1662242078,73595610,73595042,CC BY-SA 4.0,15152,14460824,registered,,https://i.stack.imgur.com/peh8Z.png?s=256&g=1,HedgeHog,https://stackoverflow.com/users/14460824/hedgehog,
3,True,1,1662281632,1662281632.0,1662200467,73591431,73557968,CC BY-SA 4.0,58742,1082681,registered,90.0,https://i.stack.imgur.com/lDK9h.png?s=256&g=1,kriegaex,https://stackoverflow.com/users/1082681/kriegaex,
4,True,0,1662281598,1662281598.0,1662209460,73592380,73592359,CC BY-SA 4.0,7862,13211263,registered,,https://i.stack.imgur.com/r5sEF.jpg?s=256&g=1,lpizzinidev,https://stackoverflow.com/users/13211263/lpizzinidev,
5,False,0,1662281379,1662281379.0,1662185072,73590024,73589725,CC BY-SA 4.0,61,16574349,registered,,https://lh3.googleusercontent.com/a-/AOh14GjIJNxEM-uT870jZYRJMWHNSC9PvIGMQ7wfP7cpfg=k-s256,Mubtasim Fuad,https://stackoverflow.com/users/16574349/mubtasim-fuad,
6,False,0,1662281044,1662281044.0,1662225653,73594136,73593699,CC BY-SA 4.0,53,7911430,registered,,https://www.gravatar.com/avatar/4f66570d4ece4e3950e56261048175d7?s=256&d=identicon&r=PG&f=1,Rowan Jacques-Hamilton,https://stackoverflow.com/users/7911430/rowan-jacques-hamilton,
7,False,0,1662280101,1662280101.0,1662219494,73593477,73590438,CC BY-SA 4.0,125740,1832058,registered,,https://i.stack.imgur.com/relWs.jpg?s=256&g=1,furas,https://stackoverflow.com/users/1832058/furas,
8,False,0,1662279881,1662279881.0,1662241541,73595580,73595462,CC BY-SA 4.0,656,9872061,registered,,https://i.stack.imgur.com/vUUuY.jpg?s=256&g=1,Prins,https://stackoverflow.com/users/9872061/prins,
9,False,-1,1662278665,1662278665.0,1662226107,73594202,73594180,CC BY-SA 4.0,287235,116,registered,93.0,https://i.stack.imgur.com/f6flX.jpg?s=256&g=1,Mark Harrison,https://stackoverflow.com/users/116/mark-harrison,
10,True,1,1662278396,1662278396.0,1662226448,73594231,73593499,CC BY-SA 4.0,12964,15288641,registered,,https://i.stack.imgur.com/qtrrh.jpg?s=256&g=1,yousoumar,https://stackoverflow.com/users/15288641/yousoumar,
11,False,1,1662278322,1662278322.0,1662228378,73594432,73594019,CC BY-SA 4.0,66,19227362,registered,,https://www.gravatar.com/avatar/0827be434192fe18c23d0aa66b316a40?s=256&d=identicon&r=PG,Tom,https://stackoverflow.com/users/19227362/tom,
12,False,0,1662278037,1662278037.0,1662215549,73593009,73591037,CC BY-SA 4.0,32755,1646240,registered,91.0,https://www.gravatar.com/avatar/cbd5c282ccb929604467e3b3f900b0d5?s=256&d=identicon&r=PG,StepUp,https://stackoverflow.com/users/1646240/stepup,
13,False,1,1662277979,1662277979.0,1662231975,73594826,73594156,CC BY-SA 4.0,5401,4632627,registered,71.0,https://lh5.googleusercontent.com/-0ubUMFTTVkY/AAAAAAAAAAI/AAAAAAAAD64/gMOlq1lZJhE/photo.jpg?sz=256,Richard Dunn,https://stackoverflow.com/users/4632627/richard-dunn,
14,True,2,1662276948,1662276948.0,1662200610,73591457,73591088,CC BY-SA 4.0,2103,2683320,registered,,https://www.gravatar.com/avatar/1f1277edc9447bb239cc46b68236a465?s=256&d=identicon&r=PG&f=1,Hanjoung Lee,https://stackoverflow.com/users/2683320/hanjoung-lee,
15,False,1,1662276529,1662276529.0,1662189420,73590368,73590105,CC BY-SA 4.0,16594,8039978,registered,,https://www.gravatar.com/avatar/7a993c902d416a27ac88382e86d232d1?s=256&d=identicon&r=PG&f=1,Chris Ruehlemann,https://stackoverflow.com/users/8039978/chris-ruehlemann,
16,False,0,1662276240,1662276240.0,1662226725,73594262,70328848,CC BY-SA 4.0,59,5490923,registered,,https://i.stack.imgur.com/B5huW.jpg?s=256&g=1,leatherjacket4,https://stackoverflow.com/users/5490923/leatherjacket4,
17,False,0,1662275893,1662275893.0,1662246457,73595901,65338261,CC BY-SA 4.0,41,16023650,registered,,https://i.stack.imgur.com/xw4oR.png?s=256&g=1,contramao,https://stackoverflow.com/users/16023650/contramao,
18,False,0,1662274472,1662274472.0,1662245528,73595848,73595751,CC BY-SA 4.0,380,16420204,registered,,https://i.stack.imgur.com/AGSYP.jpg?s=256&g=1,OliverHennhoefer,https://stackoverflow.com/users/16420204/oliverhennhoefer,
19,True,1,1662274382,1662274382.0,1662241013,73595543,73507797,CC BY-SA 4.0,5245,7721752,registered,,https://i.stack.imgur.com/lLM7n.jpg?s=256&g=1,ukBaz,https://stackoverflow.com/users/7721752/ukbaz,
20,False,0,1662273910,1662273910.0,1662221381,73593689,73582868,CC BY-SA 4.0,6137,4653172,registered,,https://www.gravatar.com/avatar/3c894c1021e3092a98cdd62d88e69819?s=256&d=identicon&r=PG&f=1,Jerzy D.,https://stackoverflow.com/users/4653172/jerzy-d,
21,True,1,1662273435,1662273435.0,1662181934,73589799,73430897,CC BY-SA 4.0,7586,1679286,registered,80.0,https://www.gravatar.com/avatar/68e12b1da713bc49ac140d8fdac4f518?s=256&d=identicon&r=PG,winner_joiner,https://stackoverflow.com/users/1679286/winner-joiner,
22,True,2,1662272851,1662272851.0,1662184239,73589964,73589955,CC BY-SA 4.0,12518,15261315,registered,,https://lh4.googleusercontent.com/-LptrP_K-Knc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknaOap10gHas2vnWz1boT4Zg-Rxg/s96-c/photo.jpg?sz=256,Chris,https://stackoverflow.com/users/15261315/chris,
23,False,3,1662272523,1662272523.0,1662231456,73594761,73594702,CC BY-SA 4.0,77966,1440565,registered,59.0,https://www.gravatar.com/avatar/ec430cc01ef4cf4ae63ebbe9e8596f72?s=256&d=identicon&r=PG,Code-Apprentice,https://stackoverflow.com/users/1440565/code-apprentice,
24,False,0,1662272030,1662272030.0,1662226559,73594243,73593309,CC BY-SA 4.0,486,8767186,registered,,https://lh3.googleusercontent.com/-ysjHty_MopQ/AAAAAAAAAAI/AAAAAAAAEvc/t1ZWngQU_mg/photo.jpg?sz=256,Shahab Rahnama,https://stackoverflow.com/users/8767186/shahab-rahnama,
25,False,1,1662271962,1662271962.0,1662236314,73595184,73595003,CC BY-SA 4.0,451,14335655,registered,,https://lh6.googleusercontent.com/-EMeW4PvQZ-Y/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf6kW0De2vjqiJI3dJB40kl-jtlWA/photo.jpg?sz=256,Karolina Hageg&#229;rd,https://stackoverflow.com/users/14335655/karolina-hageg%c3%a5rd,
26,False,0,1662271304,1662271304.0,1662238824,73595380,73595206,CC BY-SA 4.0,451,14335655,registered,,https://lh6.googleusercontent.com/-EMeW4PvQZ-Y/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf6kW0De2vjqiJI3dJB40kl-jtlWA/photo.jpg?sz=256,Karolina Hageg&#229;rd,https://stackoverflow.com/users/14335655/karolina-hageg%c3%a5rd,
27,False,2,1662269962,1662269962.0,1662222722,73593835,73593781,CC BY-SA 4.0,384,19004390,registered,,https://i.stack.imgur.com/Ex8fo.png?s=256&g=1,kingerman88,https://stackoverflow.com/users/19004390/kingerman88,
28,False,-1,1662269750,1662269750.0,1662229252,73594513,43323481,CC BY-SA 4.0,1,8154996,registered,,https://www.gravatar.com/avatar/b66ded42209da74853a1f0382d989465?s=256&d=identicon&r=PG&f=1,RummyPervert,https://stackoverflow.com/users/8154996/rummypervert,
29,False,0,1662269589,1662269589.0,1662242554,73595653,56889663,CC BY-SA 4.0,15458,193178,registered,,https://i.stack.imgur.com/DUlHJ.png?s=256&g=1,Rolf Kristensen,https://stackoverflow.com/users/193178/rolf-kristensen,
30,False,1,1662268871,1662268871.0,1662203478,73591771,73591583,CC BY-SA 4.0,1279,19642884,registered,,https://i.stack.imgur.com/FNrxr.jpg?s=256&g=1,Henrique Bucher,https://stackoverflow.com/users/19642884/henrique-bucher,
31,False,0,1662266941,1662266941.0,1662219804,73593513,73593269,CC BY-SA 4.0,784,14657675,registered,,https://i.stack.imgur.com/H60Rx.jpg?s=256&g=1,Ignacior,https://stackoverflow.com/users/14657675/ignacior,
32,False,0,1662266891,1662266891.0,1662246271,73595888,73595665,CC BY-SA 4.0,44526,4744514,registered,96.0,https://i.stack.imgur.com/RQ2Np.jpg?s=256&g=1,MikeT,https://stackoverflow.com/users/4744514/miket,
33,False,0,1662266703,1662266703.0,1662206285,73592080,30743408,CC BY-SA 4.0,39018,6599590,registered,96.0,https://i.stack.imgur.com/qLSDJ.jpg?s=256&g=1,Andy Jazz,https://stackoverflow.com/users/6599590/andy-jazz,
34,False,0,1662265987,1662265987.0,1662245863,73595866,67727094,CC BY-SA 4.0,1,14902978,registered,,https://www.gravatar.com/avatar/4571c2f7bfb56116dd65d2a6013bc573?s=256&d=identicon&r=PG&f=1,Apekool,https://stackoverflow.com/users/14902978/apekool,
35,False,0,1662265876,1662265876.0,1662215699,73593032,14604653,CC BY-SA 4.0,3707,1432047,registered,,https://www.gravatar.com/avatar/158e4f3a4209c960e3315cf735634975?s=256&d=identicon&r=PG,fitorec,https://stackoverflow.com/users/1432047/fitorec,
36,False,0,1662265564,1662265564.0,1662186265,73590116,42363030,CC BY-SA 4.0,1902,1833895,registered,50.0,https://www.gravatar.com/avatar/199fa219f77ea1ef89fa894c1e39bc14?s=256&d=identicon&r=PG,Aleksei Mialkin,https://stackoverflow.com/users/1833895/aleksei-mialkin,
37,False,1,1662265432,1662265432.0,1662234398,73595035,73592708,CC BY-SA 4.0,92,12536878,registered,,https://www.gravatar.com/avatar/be07d5e073bce89bd7999771849b63d0?s=256&d=identicon&r=PG&f=1,gabor.zed,https://stackoverflow.com/users/12536878/gabor-zed,
