,is_accepted,score,last_activity_date,last_edit_date,creation_date,answer_id,question_id,content_license,owner.reputation,owner.user_id,owner.user_type,owner.profile_image,owner.display_name,owner.link,owner.accept_rate,community_owned_date
0,False,0,2022-09-06 09:01:05,2022-09-06 09:01:05,2022-09-05 12:53:39,73609718,73607128,CC BY-SA 4.0,244,19895159,registered,https://www.gravatar.com/avatar/66143173535f86dd789bad7bc8069043?s=256&d=identicon&r=PG,Toni,https://stackoverflow.com/users/19895159/toni,,
1,False,0,2022-09-06 08:47:50,2022-09-06 08:47:50,2022-09-05 20:10:07,73614239,73612999,CC BY-SA 4.0,714,200942,registered,https://i.stack.imgur.com/fM0WC.jpg?s=256&g=1,Blind Trevor,https://stackoverflow.com/users/200942/blind-trevor,93.0,
2,False,0,2022-09-06 08:43:02,2022-09-06 08:43:02,2022-09-05 06:16:21,73605195,73603827,CC BY-SA 4.0,11,14127821,registered,https://www.gravatar.com/avatar/bd2df4c2a0b89a40301c2ba8d6610f88?s=256&d=identicon&r=PG&f=1,AMS,https://stackoverflow.com/users/14127821/ams,,
3,False,1,2022-09-06 08:42:50,2022-09-06 08:42:50,2022-09-05 18:46:47,73613596,25785,CC BY-SA 4.0,7916,3387716,registered,https://www.gravatar.com/avatar/bcad6c8d7a64b0e16fd59996e3835ee9?s=256&d=identicon&r=PG,Fravadona,https://stackoverflow.com/users/3387716/fravadona,,
4,False,1,2022-09-06 08:39:29,2022-09-06 08:39:29,2022-09-05 13:21:29,73610071,73609924,CC BY-SA 4.0,108,8183510,registered,https://graph.facebook.com/450083355356073/picture?type=large,Mykhailo YATSYSHYN,https://stackoverflow.com/users/8183510/mykhailo-yatsyshyn,,
5,False,-1,2022-09-06 08:36:14,2022-09-06 08:36:14,2022-09-05 15:22:14,73611612,73604875,CC BY-SA 4.0,1654,17628336,registered,https://www.gravatar.com/avatar/f2018101c34b36180cc3fb47204e6e75?s=256&d=identicon&r=PG,brebs,https://stackoverflow.com/users/17628336/brebs,,
6,False,0,2022-09-06 08:34:52,2022-09-06 08:34:52,2022-09-05 12:49:36,73609652,73609432,CC BY-SA 4.0,153604,7252182,registered,https://i.stack.imgur.com/LUgxG.png?s=256&g=1,mm8,https://stackoverflow.com/users/7252182/mm8,,
7,False,0,2022-09-06 08:30:38,2022-09-06 08:30:38,2022-09-05 17:06:28,73612689,49636026,CC BY-SA 4.0,117,2185555,registered,https://www.gravatar.com/avatar/5e68ccc601753904775215cdb1371f54?s=256&d=identicon&r=PG,Sanjay,https://stackoverflow.com/users/2185555/sanjay,50.0,
8,False,1,2022-09-06 08:28:41,2022-09-06 08:28:41,2022-09-05 12:56:50,73609754,73607851,CC BY-SA 4.0,36,3894411,registered,https://www.gravatar.com/avatar/bd62aeafd6c31ae52ef7186dc515d92e?s=256&d=identicon&r=PG&f=1,Harry,https://stackoverflow.com/users/3894411/harry,,
9,False,0,2022-09-06 08:28:01,2022-09-06 08:28:01,2022-09-05 12:05:04,73609097,73606656,CC BY-SA 4.0,657,691415,registered,https://www.gravatar.com/avatar/21ecd159a9ca580cfbef7a55ca825d79?s=256&d=identicon&r=PG,gerben,https://stackoverflow.com/users/691415/gerben,67.0,
